,mom_20,mom_60,reversal_5,volatility_20,dollar_volume_20,volume_anom,ma_dist_20,rsi_14,overnight,turnover_20,hl_spread_5,size_proxy,intraday_momentum,max_ret_5d
mom_20,1.0,0.018284878307371417,0.11285668976953155,-0.0049608760043351975,-0.012327949708003928,0.007037954200568774,0.015981388295261672,0.02664946763822163,0.01563777978764548,0.03591290025884835,-0.00419382071811364,0.014838051043010971,-0.006523238249791252,0.012205347023633753
mom_60,0.018284878307371417,1.0,0.013372702156478174,0.030660165185260622,-0.02670635910174847,-0.015429575020780949,0.02272294043945147,0.026688954665954803,-0.021100408649051706,-0.017806993836783764,-0.03507812155462527,0.00447182720910941,-0.02886519897048292,0.014814447872735104
reversal_5,0.11285668976953155,0.013372702156478174,1.0,-0.009946909406033148,-0.023190585718304697,0.005761218567346694,0.052024823569222084,-0.003749806270012452,0.02568360695516991,-0.024054375405356765,0.016646164891702606,-0.021249455937845305,0.026194755188398644,0.008825339990334392
volatility_20,-0.0049608760043351975,0.030660165185260622,-0.009946909406033148,1.0,0.01595112434163526,0.006811631075628579,0.006495450678912697,-0.00028572458218672147,0.0011067896492903974,-0.009581800892637842,0.006659279951926318,0.011191392025820434,0.03964866929385876,-0.019437933920535718
dollar_volume_20,-0.012327949708003928,-0.02670635910174847,-0.023190585718304697,0.01595112434163526,1.0,0.06329910936845348,-0.0007500415578213454,0.04486858034236225,-0.01916085444976903,0.006506643013862114,-0.0266948234760851,0.008873481068875302,-0.02452611876793374,-0.043391766905509055
volume_anom,0.007037954200568774,-0.015429575020780949,0.005761218567346694,0.006811631075628579,0.06329910936845348,1.0,-0.025426047291906718,-0.004905390777837038,-0.021985022153770874,0.026932987569974247,0.006589333188588019,-0.024984530673015544,0.008887318342332353,0.02724875439678079
ma_dist_20,0.015981388295261672,0.02272294043945147,0.052024823569222084,0.006495450678912697,-0.0007500415578213454,-0.025426047291906718,1.0,-0.04423221566098599,0.011058212045680287,-0.016984572507159505,-0.021229048405077593,0.01480687502874597,0.00018220408736487965,0.05732540606588041
rsi_14,0.02664946763822163,0.026688954665954803,-0.003749806270012452,-0.00028572458218672147,0.04486858034236225,-0.004905390777837038,-0.04423221566098599,1.0,0.007576237331170161,0.007097227328686519,-0.00020978018890124782,0.021602718380271602,-0.006704123034961207,0.006746648130203013
overnight,0.01563777978764548,-0.021100408649051706,0.02568360695516991,0.0011067896492903974,-0.01916085444976903,-0.021985022153770874,0.011058212045680287,0.007576237331170161,1.0,0.02057124321549468,0.045906366400939765,-0.0025990795589407286,-0.002621038368187217,0.00920702064466793
turnover_20,0.03591290025884835,-0.017806993836783764,-0.024054375405356765,-0.009581800892637842,0.006506643013862114,0.026932987569974247,-0.016984572507159505,0.007097227328686519,0.02057124321549468,1.0,0.028457827589268864,0.008664557040181065,-0.0019469373690667617,-0.020293378689576737
hl_spread_5,-0.00419382071811364,-0.03507812155462527,0.016646164891702606,0.006659279951926318,-0.0266948234760851,0.006589333188588019,-0.021229048405077593,-0.00020978018890124782,0.045906366400939765,0.028457827589268864,1.0,-0.023075477932350378,0.008848159284296976,-0.009596621620357485
size_proxy,0.014838051043010971,0.00447182720910941,-0.021249455937845305,0.011191392025820434,0.008873481068875302,-0.024984530673015544,0.01480687502874597,0.021602718380271602,-0.0025990795589407286,0.008664557040181065,-0.023075477932350378,1.0,-0.010874849633899553,0.011317763122717666
intraday_momentum,-0.006523238249791252,-0.02886519897048292,0.026194755188398644,0.03964866929385876,-0.02452611876793374,0.008887318342332353,0.00018220408736487965,-0.006704123034961207,-0.002621038368187217,-0.0019469373690667617,0.008848159284296976,-0.010874849633899553,1.0,-0.02344894890464256
max_ret_5d,0.012205347023633753,0.014814447872735104,0.008825339990334392,-0.019437933920535718,-0.043391766905509055,0.02724875439678079,0.05732540606588041,0.006746648130203013,0.00920702064466793,-0.020293378689576737,-0.009596621620357485,0.011317763122717666,-0.02344894890464256,1.0
