date,mom_20,mom_60,reversal_5,volatility_20,dollar_volume_20,volume_anom,ma_dist_20,rsi_14,overnight,turnover_20,hl_spread_5,size_proxy,intraday_momentum,max_ret_5d
2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008212408892635192,0.0,0.0,-0.040173491848037646,0.009355718292027637,0.0
2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00533960258723043,0.0,0.0,-0.04295371986201679,-0.005775975246201104,0.0
2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06374396432678497,0.0,0.0,0.01030314983466396,0.024456554781026485,0.0
2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11782483694224988,0.0,0.0837735974954179,-0.009679719950079213,0.04308611025669018,0.0
2016-01-11,0.0,0.0,-0.0195697166700608,0.0,0.0,0.0,0.0,0.0,0.0986164325216139,0.0,0.045620082030047415,-0.0013906168862207746,0.01978309148982582,0.015619075340181254
2016-01-12,0.0,0.0,-0.012413497766267101,0.0,0.0,0.0,0.0,0.0,0.08243618423583432,0.0,0.052157971005904136,-0.01643919205250588,0.024367087334263626,0.03092397859265561
2016-01-13,0.0,0.0,-0.047397327586041205,0.0,0.0,0.0,0.0,0.0,0.07193108959286176,0.0,0.05096864640157395,-0.02819042311447084,0.03301581949076415,0.04324108779614577
2016-01-14,0.0,0.0,-0.002773484188106523,0.0,0.0,0.0,0.0,0.0,0.09585190061440185,0.0,0.052307459963869096,-0.04987696011605269,0.059670098030173424,0.06652166352844957
2016-01-15,0.0,0.0,-0.01767297621604902,0.0,0.0,0.0,0.0,0.0,0.12317216285098476,0.0,0.04309835990828059,-0.026186116391974434,0.0460398722427009,0.05718817014884037
2016-01-18,0.0,0.0,-0.007274111615862555,0.0,0.0,0.0,0.0,0.0,0.13668347535287362,0.0,0.05414054682438496,-0.014152873848879755,0.0571131978608308,0.06169018393239156
2016-01-19,0.0,0.0,0.01617283500262401,0.0,0.0,0.0,0.0,0.0,0.08992874301239828,0.0,0.09750007494694879,-0.0374373526877243,0.058265107919483805,0.06329689203230338
2016-01-20,0.0,0.0,0.01191942682531022,0.0,0.0,0.0,0.0,0.0,0.10917937502621933,0.0,0.08885678855906187,-0.03340834138745241,0.07355219867418472,0.047658139235765784
2016-01-21,0.0,0.0,0.01862581299629351,0.0,0.0,0.0,0.0,0.0,0.06554521997234142,0.0,0.08824949175354946,-0.01041600076676863,0.11154156666045467,0.00644417626445648
2016-01-22,0.0,0.0,0.04759620886770999,0.0,0.0,0.0,0.0,0.008373205741626588,0.07863971075935239,0.0,0.08641147048995235,-0.00827761002413474,0.1151103878188664,-0.01467608440064827
2016-01-25,0.0,0.0,0.008676933890119365,0.0,0.0,0.0,0.0,0.012170271008404843,0.07808118444209411,0.0,0.08712616385949956,-0.012011976050346429,0.07028333788599905,0.022654151203989725
2016-01-26,0.0,0.0,0.05360036579340188,0.0,0.0,0.0,0.0,0.01677681303332257,0.1298406737218234,0.0,0.043795406266776915,-0.0011017574333629376,0.06656542463219273,0.07175254689067989
2016-01-27,0.0,0.0,0.06261715685523495,0.0,0.0,0.0,0.0,0.03761067409029373,0.15054449835165729,0.0,0.03486252678498114,-0.013020638567185272,0.09669149626529205,0.04877971029158368
2016-01-28,0.0,0.0,0.08387617834475947,0.0,0.0,0.0,0.0,0.04217797095845999,0.24042300028758468,0.0,0.04956701505612493,-0.03922278477445873,0.12970969372717955,0.08466413511856774
2016-01-29,0.0,0.0,0.017519236089216683,0.0,-0.01615204614628496,0.0,-0.02717867467200341,0.06392558123412062,0.27662428796068794,-0.020867463026166266,0.07809285550480083,-0.054741302691080795,0.20228581860992856,0.15434639080187162
2016-02-01,-0.014368062241805757,0.0,-0.009221739849085475,-0.010472435098950017,-0.028479338181506164,0.0,-0.04115623202447205,0.03749714066271248,0.24174892288892913,0.00345467615477979,0.07213265536309699,-0.06658508400395258,0.17836450436874518,0.11642970006225672
2016-02-02,-0.0246926766290968,0.0,-0.006946462569641598,-0.005416056307810835,-0.028203609685419684,0.0,-0.030190606728967673,0.05466376768289649,0.263903746867058,-0.013148677707193523,0.08336337528459592,-0.06632017034732429,0.22860174555654877,0.16402647330459086
2016-02-03,-0.01314335892845897,0.0,-0.010283252102013751,-0.004658340313341336,-0.0241576308501108,0.0,-0.01870639398540097,0.0440959026380201,0.2256691628137628,0.0001582405930227182,0.09879703505049564,-0.06243288606907482,0.2476350735760109,0.17182252664417708
2016-02-04,-0.020958168430871504,0.0,-0.0066155999247112796,0.023981834381348488,-0.02094531065445715,0.0,-0.03213011010474698,0.03368224369006545,0.26093683055303063,0.01013367176290525,0.10388122056253102,-0.059346562017081994,0.24352805437869374,0.2161487997087559
2016-02-05,-0.02936310949628329,0.0,0.011486446535240447,0.005422571733878501,-0.022885805390522207,0.0,-0.04043914156923323,0.036980879888209195,0.28391437790328644,0.006910182615267324,0.09543020699154359,-0.06121094514575842,0.2179383087199418,0.2005129700603081
2016-02-15,0.005022790759220852,0.0,0.02129549583757684,0.008781838184553914,-0.01733542991645909,0.0,-0.006445622169859222,0.04155485417649829,0.2849671533841116,-0.001721030352807018,0.09909020234758281,-0.055878270854331946,0.18016363003150282,0.17590529523217047
2016-02-16,-0.004769687464994177,0.0,0.0430117044677234,0.011917997593595464,-0.025781574236505622,0.0,-0.016126357471518804,0.031406424387016685,0.26270872059915273,-0.009385645533791398,0.10250711762996034,-0.06399313387353922,0.19372370980710563,0.2113635566995955
